state,county,city,density,impervious,rel
Massachusetts,Berkshire,North Adams,133.97082191402862,0.0,0.0575540613659836
Massachusetts,Berkshire,Sheffield,17.43596560194267,0.0,6.344130590160947
Massachusetts,Berkshire,Stockbridge,31.59500694988288,0.0,0.4694444272371258
Massachusetts,Berkshire,West Stockbridge,21.15380953745971,0.0,0.1988927656943696
Massachusetts,Berkshire,Williamstown,28.123460836407755,0.0,1.847164160589298
Massachusetts,Bristol,Acushnet,97.09634368987857,0.0,0.185011957039218
Massachusetts,Bristol,Attleboro,288.4886192400354,40.0,1.141517739361999
Massachusetts,Bristol,Dartmouth,94.28410323758226,0.0,0.7076927468125412
Massachusetts,Bristol,Dighton,48.66839963790851,0.0,0.2026551829675457
Massachusetts,Bristol,Easton,135.0814989696713,0.0,4.518575843145026
Massachusetts,Bristol,Fairhaven,259.13200196653435,0.0,0.2635825883049195
Massachusetts,Bristol,Fall River,520.7957831371297,0.0,0.6678589034544979
Massachusetts,Bristol,Freetown,47.06513112820553,0.0,1.241838700873949
Massachusetts,Bristol,New Bedford,920.851339050892,69.0,0.3517411954217418
Massachusetts,Bristol,Norton,106.53658401790602,0.0,4.841682929624779
Massachusetts,Bristol,Rehoboth,42.56434638740046,0.0,1.1631912134409796
Massachusetts,Bristol,Seekonk,139.51446280341247,83.0,1.0727268534868752
Massachusetts,Bristol,Somerset,385.014489127667,16.0,0.1274087423634661
Massachusetts,Bristol,Swansea,126.96783113884526,0.0,1.671146953749809
Massachusetts,Bristol,Westport,69.57009640577105,0.0,0.3322734463227877
Massachusetts,Dukes,Aquinnah,40.41720990873534,0.0,7.384188745147205
Massachusetts,Dukes,Chilmark,37.54429709834712,0.0,7.030841668334228
Massachusetts,Dukes,Edgartown,87.69423517105604,0.0,0.0
Massachusetts,Dukes,Oak Bluffs,255.57641620937264,0.0,0.0
Massachusetts,Dukes,Tisbury,232.10227329933116,0.0,0.0
Massachusetts,Dukes,West Tisbury,41.46362716683894,0.0,1.0400054881403282
Massachusetts,Essex,Andover,177.55569470830028,0.0,0.8941398682218018
Massachusetts,Essex,Beverly,493.31851501403895,0.0,0.2299134560267215
Massachusetts,Essex,Boxford,49.771235863871,0.0,1.181596090666669
Massachusetts,Essex,Essex,56.71824265811938,0.0,0.7589740057278983
