state,county,city,town_tracked,aland_sqkm,density,lat,lon,rel
Connecticut,Windham,Putnam,5218.0,52.588039,99.22408401651941,41.908027,-71.870452,0.27678215854681426
Connecticut,Windham,Scotland,724.0,48.25486,15.003670096649332,41.697636,-72.087289,7.242521438310906
Connecticut,Windham,Sterling,1665.0,70.499825,23.617079900552945,41.7012,-71.815988,1.3816119709808832
Connecticut,Windham,Thompson,4672.0,121.49636,38.453826929465215,41.990287,-71.867024,1.726616280353433
Connecticut,Windham,Windham,10301.0,69.533865,148.14364195058047,41.714475,-72.168667,0.3105050312945983
Connecticut,Windham,Woodstock,4177.0,157.165209,26.577128784271842,41.966208,-72.022786,1.478076970149945
Massachusetts,Barnstable,Barnstable,31289.0,,,,,1.1198988582543867
Massachusetts,Barnstable,Bourne,11579.0,105.32398,109.93697731513754,41.71746,-70.591824,0.4538549804339254
Massachusetts,Barnstable,Brewster,9025.0,59.415921,151.8953143888824,41.747513,-70.066223,0.2457634543924437
Massachusetts,Barnstable,Chatham,8466.0,41.881402,202.14223010012893,41.621629,-69.981956,5.485403586896456
Massachusetts,Barnstable,Dennis,17127.0,53.342892,321.0737055651201,41.706123,-70.164823,0.3138539918516814
Massachusetts,Barnstable,Eastham,6591.0,36.176094,182.19214047818429,41.841572,-69.988926,0.0
Massachusetts,Barnstable,Falmouth,25734.0,114.107075,225.52501674414142,41.594889,-70.599245,0.9498651070829586
Massachusetts,Barnstable,Harwich,11251.0,54.089038,208.00887603140583,41.697108,-70.070167,0.07605963460971982
Massachusetts,Barnstable,Mashpee,12074.0,60.590538,199.27203815222765,41.617623,-70.492713,0.5956776536560352
Massachusetts,Barnstable,Orleans,6734.0,36.683277,183.5713859478803,41.765676,-69.966195,1.5760562021371884
Massachusetts,Barnstable,Provincetown,5907.0,25.046216,235.8440093305911,42.056927,-70.190475,0.04576479904934109
Massachusetts,Barnstable,Sandwich,11014.0,111.028871,99.19942354453015,41.7132,-70.485737,1.6947872498715106
Massachusetts,Barnstable,Truro,3638.0,54.268861,67.03660133939424,42.013557,-70.064151,2.3686573987384856
Massachusetts,Barnstable,Wellfleet,4726.0,51.240906,92.23099997490286,41.916805,-70.0271,2.7604784272082292
Massachusetts,Barnstable,Yarmouth,18600.0,62.563418,297.2983349471092,41.674949,-70.226014,0.3076135684336313
Massachusetts,Berkshire,Adams,4635.0,59.281213,78.18665923721905,42.62556,-73.119828,0.37629988137082243
Massachusetts,Berkshire,Alford,371.0,29.801961,12.448845228674717,42.253544,-73.426528,0.8005556684775881
Massachusetts,Berkshire,Cheshire,1672.0,69.442567,24.07745093870162,42.565107,-73.149142,0.32426639480027736
Massachusetts,Berkshire,Clarksburg,795.0,32.868764,24.187097513006574,42.72272,-73.105818,0.25030130341620277
Massachusetts,Berkshire,Egremont,1052.0,48.347232,21.759260178535143,42.173533,-73.444931,2.4498319396392225
Massachusetts,Berkshire,Florida,410.0,63.090077,6.498644786881462,42.680041,-73.015814,5.760925749937581
Massachusetts,Berkshire,Great Barrington,4519.0,116.080288,38.92995165553001,42.221696,-73.333175,0.12554572806481407
Massachusetts,Berkshire,Hancock,717.0,92.421766,7.757912784311003,42.530004,-73.316635,2.79896571729404
Massachusetts,Berkshire,Lenox,3111.0,54.951001,56.6140733268899,42.367858,-73.269763,0.22871245220398162
Massachusetts,Berkshire,Monterey,946.0,68.464304,13.817419366448245,42.186893,-73.223105,0.3236895328468133
Massachusetts,Berkshire,Mount Washington,180.0,57.63185,3.1232729818667977,42.09092,-73.470197,0.0
Massachusetts,Berkshire,New Marlboro,1167.0,,,,,2.045385736598235
Massachusetts,Berkshire,North Adams,7060.0,52.698042,133.97082191402862,42.675565,-73.118114,0.05755406136598366
Massachusetts,Berkshire,Sheffield,2141.0,122.792167,17.43596560194267,42.10365,-73.359887,6.344130590160947
Massachusetts,Berkshire,Stockbridge,1861.0,58.901712,31.59500694988288,42.301969,-73.323024,0.4694444272371258
Massachusetts,Berkshire,West Stockbridge,1011.0,47.79281,21.15380953745971,42.312354,-73.388044,0.19889276569436962
Massachusetts,Berkshire,Williamstown,3404.0,121.037735,28.123460836407755,42.695743,-73.222118,1.8471641605892979
