fips,name,regime,obs,routed_wape,xgb_wape,margin,years_won,cells_won,route
42027,"Centre, PA",stable,1159.0,0.15988509838276552,0.13384927615376044,0.16284083064874016,2,3.0,statistical
36037,"Genesee, NY",stable,441.0,0.13184754941981447,0.11122652269316304,0.15640053089642364,2,9.0,statistical
36003,"Allegany, NY",stable,584.0,0.34101496590960423,0.2896152823150725,0.15072559486482093,1,6.0,statistical
36055,"Monroe, NY",stable,1108.0,0.5961462736515661,0.5103439514580393,0.1439283041525414,2,7.0,statistical
25007,"Dukes, MA",stable,184.0,0.3781968351651937,0.3267007200576304,0.13616220528410863,2,5.0,statistical
23001,"Androscoggin, ME",stable,571.0,0.25487209657380755,0.2216847109465417,0.13021192226766656,3,8.0,weather
24039,"Somerset, MD",shift,371.0,0.20215633423180593,0.1775714770984426,0.12161309328637064,2,5.0,statistical
36079,"Putnam, NY",stable,872.0,0.18103961987642614,0.15903670116711732,0.12153648314290291,2,7.0,statistical
54003,"Berkeley, WV",stable,678.0,0.15627833099277438,0.13864150663467326,0.11285521317038237,2,8.0,statistical
24011,"Caroline, MD",stable,452.0,0.3987005168048051,0.35552535475972696,0.10828970674802448,1,7.0,statistical
54057,"Mineral, WV",stable,439.0,0.19274206617751283,0.17202018162602978,0.10751095991882995,2,8.0,statistical
36107,"Tioga, NY",stable,561.0,0.11935401653595935,0.10683258370379901,0.10491002477815937,3,7.0,weather
23017,"Oxford, ME",stable,813.0,0.21655513584401365,0.19473753362538437,0.10074848667798238,1,5.0,statistical
34017,"Hudson, NJ",stable,2354.0,0.11710012296346127,0.10534272433149566,0.10040466512263413,3,7.0,weather
36103,"Suffolk, NY",shift,2138.0,0.08840037418147802,0.07976177376001564,0.09772131058775957,2,7.0,statistical
44003,"Kent, RI",stable,692.0,0.25515094801234106,0.23062839682336153,0.0961099748208399,3,8.0,weather
33019,"Sullivan, NH",stable,360.0,0.11561351875949166,0.10559228656921431,0.08667872319606766,3,9.0,weather
34031,"Passaic, NJ",stable,2145.0,0.1254381234028081,0.1161161177788411,0.07431556986891535,1,7.0,statistical
42093,"Montour, PA",stable,237.0,0.3166773481129471,0.2952157374096349,0.0677712215010012,1,6.0,statistical
44005,"Newport, RI",stable,344.0,0.412594571728212,0.3861102431808048,0.06418971639998508,2,7.0,statistical
36007,"Broome, NY",shift,933.0,0.2797427652733119,0.26205419294284227,0.0632315631583454,2,8.0,statistical
50011,"Franklin, VT",stable,199.0,0.2193314236360843,0.20652986965998812,0.05836625579623541,2,8.0,statistical
24025,"Harford, MD",stable,1786.0,0.08430131369510444,0.07954974521265411,0.056364109575272985,2,7.0,statistical
23023,"Sagadahoc, ME",stable,402.0,0.3669485604543882,0.3483154636751701,0.05077849809833004,2,7.0,statistical
36011,"Cayuga, NY",stable,463.0,0.190433348335302,0.18136408868914108,0.047624324864531574,1,8.0,statistical
36069,"Ontario, NY",stable,640.0,0.24874258909572217,0.23811078882506326,0.04274217901047711,1,7.0,statistical
36013,"Chautauqua, NY",insufficient,600.0,0.11584486916412724,0.11090072289036387,0.0426790267832974,1,8.0,statistical
50013,"Grand Isle, VT",stable,71.0,0.4003792720761051,0.3837621274357778,0.041503508795951445,1,6.0,statistical
44001,"Bristol, RI",stable,210.0,0.29144890550237373,0.27943939056901707,0.04120624475379564,2,8.0,statistical
36057,"Montgomery, NY",insufficient,565.0,0.1605478428443912,0.1542108557383242,0.03947101993895392,1,7.0,statistical
42125,"Washington, PA",stable,1865.0,0.08621574676531951,0.0833740028602832,0.03296084545635944,2,6.0,statistical
09013,"Tolland, CT",trend,597.0,0.11725293132328309,0.11389786784484637,0.028613898523238816,1,4.0,statistical
42109,"Snyder, PA",stable,465.0,0.20826896605127668,0.20277592700189806,0.02637473625343782,2,5.0,statistical
09009,"New Haven, CT",stable,1340.0,0.0470731835704243,0.04609656233693677,0.020746870286061023,1,4.0,statistical
23013,"Knox, ME",stable,333.0,0.19882408337823854,0.19480023156149917,0.020238251565754633,2,6.0,statistical
36073,"Orleans, NY",insufficient,411.0,0.27932699842423103,0.27469613890771494,0.016578632007074823,1,6.0,statistical
36005,"Bronx, NY",stable,1465.0,0.20171853645442644,0.1989880388234865,0.01353617609434138,1,5.0,statistical
34015,"Gloucester, NJ",stable,1921.0,0.13851792917108263,0.13774961644438236,0.005546666278495532,2,7.0,statistical
24019,"Dorchester, MD",trend,422.0,0.19194312796208532,0.19149616211143122,0.002328636900938625,2,5.0,statistical
23031,"York, ME",stable,1111.0,0.20082290411120104,0.20064076184497426,0.000906979545151532,1,4.0,statistical
42007,"Beaver, PA",insufficient,918.0,0.24836426111067192,0.24855818936531773,-0.0007808219015834942,2,8.0,statistical
42037,"Columbia, PA",trend,989.0,0.30940343781597573,0.30990644358497127,-0.001625727795871189,2,6.0,statistical
23003,"Aroostook, ME",shift,254.0,0.36220472440944884,0.36356138618683975,-0.0037455662114922964,1,8.0,statistical
34001,"Atlantic, NJ",stable,1975.0,0.1690507037963767,0.1697296478924295,-0.004016215731764043,2,7.0,statistical
25015,"Hampshire, MA",trend,577.0,0.16291161178509533,0.1649211521871897,-0.012335157574557944,2,5.0,statistical
23011,"Kennebec, ME",stable,636.0,0.2964372036922785,0.3017028537929275,-0.017763121615851883,1,5.0,statistical
36077,"Otsego, NY",stable,461.0,0.1259309699871707,0.1286291998323741,-0.021426261113356687,1,8.0,statistical
23005,"Cumberland, ME",shift,1433.0,0.18213538032100487,0.18797831530751885,-0.03208017561561122,1,3.0,statistical
36033,"Franklin, NY",stable,372.0,0.15875074367292782,0.16507209299975778,-0.03981933678278543,1,6.0,statistical
25021,"Norfolk, MA",stable,2004.0,0.12241940052752635,0.12787806562353457,-0.04458986951811466,1,6.0,statistical
36119,"Westchester, NY",stable,2311.0,0.04986026555290489,0.052239997901657814,-0.047728031978246856,2,8.0,statistical
25001,25001,stable,1666.0,0.11944242733345774,0.12567883931679125,-0.05221270299474724,2,6.0,statistical
42019,"Butler, PA",stable,1612.0,0.1002945710012594,0.10587375729831766,-0.05562799901689802,1,7.0,statistical
34035,"Somerset, NJ",stable,1937.0,0.1456065660216625,0.15395975822699562,-0.05736823849063497,1,4.0,statistical
42043,"Dauphin, PA",stable,1276.0,0.10498232350652077,0.11106307730402004,-0.05792169190389061,1,6.0,statistical
