fips,mcc_raw,households,housing_units,peak,base,status,excluded,reason
38021,2595.0,1916.0,2398.0,902.0,2595,mcc_ok,False,
38023,893.0,905.0,1375.0,846.0,1375,housing_floor,False,
38025,4300.0,1493.0,2178.0,485.0,4300,mcc_ok,False,
38027,814.0,1077.0,1274.0,1281.0,1281,peak_floor,False,
38029,3111.0,1490.0,2046.0,1221.0,3111,mcc_ok,False,
38031,1325.0,1492.0,1773.0,1148.0,1773,housing_floor,False,
38033,1324.0,673.0,930.0,706.0,1324,mcc_ok,False,
38035,39992.0,30735.0,33567.0,9998.0,39992,mcc_ok,False,
38037,1221.0,1060.0,1675.0,831.0,1675,housing_floor,False,
38039,786.0,927.0,1377.0,1790.0,1790,peak_floor,False,
38041,1966.0,1055.0,1423.0,1039.0,1966,mcc_ok,False,
38043,1472.0,1111.0,1648.0,718.0,1648,housing_floor,False,
38045,2058.0,1698.0,2077.0,2359.0,2359,peak_floor,False,
38047,1244.0,770.0,1078.0,526.0,1244,mcc_ok,False,
38049,3351.0,2312.0,2837.0,847.0,3351,mcc_ok,False,
38051,2180.0,1193.0,1701.0,693.0,2180,mcc_ok,False,
38053,14655.0,5350.0,7639.0,1501.0,14655,mcc_ok,False,
38055,7334.0,4176.0,5759.0,2133.0,7334,mcc_ok,False,
38057,6015.0,3536.0,4667.0,1789.0,6015,mcc_ok,False,
38059,19085.0,13177.0,15184.0,2690.0,19085,mcc_ok,False,
38061,4771.0,3539.0,5045.0,1703.0,5045,housing_floor,False,
38063,1239.0,1297.0,1803.0,1121.0,1803,housing_floor,False,
38065,1231.0,698.0,908.0,371.0,1231,mcc_ok,False,
38067,2474.0,2961.0,3526.0,837.0,3526,housing_floor,False,
38069,1560.0,1689.0,2033.0,1341.0,2033,housing_floor,False,
38071,4176.0,5049.0,5857.0,2406.0,5857,housing_floor,False,
38073,2772.0,2347.0,2552.0,2462.0,2772,mcc_ok,False,
38075,1606.0,859.0,1253.0,854.0,1606,mcc_ok,False,
