fips,state,county,n_events_total,n_per_year,observation_years,duration_p95,dqi,d1_volume,d2_per_year,d3_obs_years,d4_tail,d5_dqi,tier
48391,TX,Refugio,3548,317.71511461610754,11.16723705224732,12.0,0.77625993638,green,green,green,green,amber,amber
48393,TX,Roberts,748,66.98165325052098,11.16723705224732,6.75,0.77625993638,green,green,green,green,amber,amber
48395,TX,Robertson,5610,502.36239937890736,11.16723705224732,8.25,0.77625993638,green,green,green,green,amber,amber
48397,TX,Rockwall,5817,520.8987659870061,11.16723705224732,15.25,0.77625993638,green,green,green,green,amber,amber
48399,TX,Runnels,2393,214.28756180280308,11.16723705224732,9.25,0.77625993638,green,green,green,green,amber,amber
48401,TX,Rusk,7163,641.4299227720345,11.16723705224732,18.75,0.77625993638,green,green,green,green,amber,amber
48403,TX,Sabine,578,51.75855023903894,11.16723705224732,7.037499999999994,0.77625993638,green,green,green,green,amber,amber
48405,TX,San Augustine,628,56.23593347771013,11.16723705224732,6.75,0.77625993638,green,green,green,green,amber,amber
48407,TX,San Jacinto,7778,696.5017366076901,11.16723705224732,15.25,0.77625993638,green,green,green,green,amber,amber
48409,TX,San Patricio,6259,560.4788338168594,11.16723705224732,18.25,0.77625993638,green,green,green,green,amber,amber
48411,TX,San Saba,1923,172.2001593592939,11.16723705224732,9.25,0.77625993638,green,green,green,green,amber,amber
48413,TX,Schleicher,766,68.59351121644261,11.16723705224732,9.4375,0.77625993638,green,green,green,green,amber,amber
48415,TX,Scurry,3366,301.41743962734444,11.16723705224732,10.0,0.77625993638,green,green,green,green,amber,amber
48417,TX,Shackelford,2387,213.75027581416253,11.16723705224732,10.424999999999955,0.77625993638,green,green,green,green,amber,amber
48419,TX,Shelby,3309,296.3132227352593,11.16723705224732,10.75,0.77625993638,green,green,green,green,amber,amber
48421,TX,Sherman,1083,96.98012094961794,11.16723705224732,7.0,0.77625993638,green,green,green,green,amber,amber
48423,TX,Smith,5891,527.5252931802395,11.16723705224732,32.375,0.77625993638,green,green,green,green,amber,amber
48425,TX,Somervell,2259,202.2881747231643,11.16723705224732,6.5,0.77625993638,green,green,green,green,amber,amber
48427,TX,Starr,5983,535.7636783393945,11.16723705224732,12.0,0.77625993638,green,green,green,green,amber,amber
