fips,NAME,mcc,households,housing_units,population,peak,ratio_hh,base_repaired,corrupt_outage
17147,"Piatt County, Illinois",6148.0,6783,7377,16698,6376,0.9063836060740086,6148.0,True
29125,"Maries County, Missouri",3269.0,3602,4290,8454,1428,0.9075513603553581,3269.0,False
37163,"Sampson County, North Carolina",19420.0,21395,25685,59317,28150,0.9076887123159617,19420.0,True
48375,"Potter County, Texas",38898.0,42824,48952,117905,19503,0.9083224360171867,38898.0,False
18069,"Huntington County, Indiana",13799.0,15165,16241,36699,5443,0.9099241674909331,13799.0,False
28019,"Choctaw County, Mississippi",3216.0,3532,4350,8208,3888,0.9105322763306908,3216.0,True
51119,"Middlesex County, Virginia",4296.0,4714,7127,10738,10192,0.9113279592702588,4296.0,True
26077,"Kalamazoo County, Michigan",96417.0,105797,114093,261426,51658,0.9113396410106147,96417.0,False
46121,"Todd County, South Dakota",2194.0,2407,2888,9353,2226,0.9115081013710012,2194.0,True
36005,"Bronx County, New York",479084.0,525387,547816,1443229,23271,0.9118687748269371,479084.0,False
45061,"Lee County, South Carolina",5675.0,6212,7577,16557,5517,0.913554410817772,5675.0,False
48325,"Medina County, Texas",15806.0,17296,19596,51432,20977,0.9138529139685476,15806.0,True
13145,"Harris County, Georgia",11153.0,12204,14306,34914,9423,0.9138806948541461,11153.0,False
51029,"Buckingham County, Virginia",5391.0,5898,7184,16869,6978,0.9140386571719227,5391.0,True
51125,"Nelson County, Virginia",5606.0,6132,9919,14773,13224,0.9142204827136334,5606.0,True
29165,"Platte County, Missouri",38960.0,42606,45378,107033,12156,0.9144251983288739,38960.0,False
12099,"Palm Beach County, Florida",539728.0,589594,708303,1494805,1098160,0.9154231555952062,539728.0,True
22099,"St. Martin Parish, Louisiana",18207.0,19874,23563,51856,22794,0.9161215658649492,18207.0,True
48447,"Throckmorton County, Texas",582.0,635,924,1439,1041,0.9165354330708662,582.0,True
36047,"Kings County, New York",915206.0,997957,1079551,2679620,35638,0.9170795936097447,915206.0,False
29087,"Holt County, Missouri",1600.0,1744,2440,4274,2491,0.9174311926605505,1600.0,True
6027,"Inyo County, California",7201.0,7849,9471,18829,4740,0.9174417123200408,7201.0,False
13183,"Long County, Georgia",5091.0,5547,6383,16804,10838,0.9177934018388318,5091.0,True
55089,"Ozaukee County, Wisconsin",34422.0,37478,39120,91745,10592,0.9184588291797855,34422.0,False
17135,"Montgomery County, Illinois",10344.0,11259,12539,28352,5667,0.9187316813216094,10344.0,False
21017,"Bourbon County, Kentucky",7414.0,8067,9134,20228,4496,0.9190529316970373,7414.0,False
19123,"Mahaska County, Iowa",8162.0,8873,9700,22059,5512,0.9198692663135355,8162.0,False
29011,"Barton County, Missouri",4120.0,4477,5311,11683,4086,0.9202591020772839,4120.0,False
8047,"Gilpin County, Colorado",2626.0,2853,3516,5856,5515,0.92043463021381,2626.0,True
40035,"Craig County, Oklahoma",4771.0,5176,6378,14144,3666,0.9217542503863988,4771.0,False
56003,"Big Horn County, Wyoming",3930.0,4262,5355,11690,2303,0.9221022993899578,3930.0,False
17005,"Bond County, Illinois",5736.0,6220,6895,16750,3411,0.9221864951768489,5736.0,False
49019,"Grand County, Utah",3998.0,4335,5248,9680,7376,0.9222606689734717,3998.0,True
36013,"Chautauqua County, New York",49280.0,53405,66350,127440,13217,0.9227600411946447,49280.0,False
15003,"Honolulu County, Hawaii",308098.0,333700,369775,1010100,62188,0.9232783937668565,308098.0,False
38069,"Pierce County, North Dakota",1560.0,1689,2033,3999,1341,0.9236234458259325,1560.0,False
48341,"Moore County, Texas",6456.0,6989,8184,21284,11418,0.9237373014737444,6456.0,True
38093,"Stutsman County, North Dakota",8427.0,9110,10389,21609,9808,0.9250274423710209,8427.0,True
29177,"Ray County, Missouri",8116.0,8773,9878,23122,5715,0.9251111364413541,8116.0,False
19161,"Sac County, Iowa",3895.0,4210,5143,9778,3463,0.9251781472684085,3895.0,False
18125,"Pike County, Indiana",4655.0,5031,5590,12227,3341,0.9252633671238323,4655.0,False
55049,"Iowa County, Wisconsin",9067.0,9795,10965,23766,5293,0.9256763654925982,9067.0,False
1113,"Russell County, Alabama",21728.0,23462,27382,58849,4718,0.9260932571818259,21728.0,False
55003,"Ashland County, Wisconsin",6345.0,6846,9415,16041,5052,0.9268185801928133,6345.0,False
13239,"Quitman County, Georgia",888.0,958,1715,2180,1921,0.9269311064718163,888.0,True
55097,"Portage County, Wisconsin",27174.0,29311,31265,70281,18682,0.9270922179386578,27174.0,False
17057,"Fulton County, Illinois",12940.0,13955,15895,33691,6017,0.9272662128269438,12940.0,False
31067,"Gage County, Nebraska",8494.0,9154,10364,21654,2040,0.9279003714223291,8494.0,False
20029,"Cloud County, Kansas",3413.0,3677,4520,9008,859,0.9282023388632037,3413.0,False
29101,"Johnson County, Missouri",19137.0,20613,22605,54025,5034,0.9283947023722894,19137.0,False
1111,"Randolph County, Alabama",8122.0,8729,12412,22179,10098,0.9304616794592737,8122.0,True
31005,"Arthur County, Nebraska",166.0,178,234,485,60,0.9325842696629213,166.0,False
39125,"Paulding County, Ohio",7079.0,7590,8524,18827,3638,0.9326745718050066,7079.0,False
16051,"Jefferson County, Idaho",8995.0,9623,10241,31383,16466,0.9347396861685545,8995.0,True
29225,"Webster County, Missouri",12849.0,13717,15290,39265,4297,0.9367208573303201,12849.0,False
12037,"Franklin County, Florida",4460.0,4761,8415,12276,20616,0.9367779878176854,4460.0,True
17163,"St. Clair County, Illinois",94355.0,100701,115165,256791,40861,0.9369817578772802,94355.0,False
36059,"Nassau County, New York",427483.0,454771,476982,1389160,457901,0.9399961738985115,427483.0,True
4012,"La Paz County, Arizona",8403.0,8911,13692,16681,4372,0.9429918078779037,8403.0,False
30073,"Pondera County, Montana",2031.0,2153,2751,5987,4355,0.9433348815606131,2031.0,True
45025,"Chesterfield County, South Carolina",16153.0,17116,20583,43536,10511,0.9437368544052349,16153.0,False
22013,"Bienville Parish, Louisiana",5075.0,5375,6907,12958,5882,0.9441860465116279,5075.0,True
12061,"Indian River County, Florida",62070.0,65735,83801,160986,120679,0.9442458355518369,62070.0,True
48177,"Gonzales County, Texas",6999.0,7412,8947,19736,4474,0.9442795466810577,6999.0,False
2240,"Southeast Fairbanks Census Area, Alaska",2069.0,2189,3537,6888,2390,0.9451804476930105,2069.0,True
19163,"Scott County, Iowa",67611.0,71436,77613,174315,56299,0.9464555686208634,67611.0,False
44009,"Washington County, Rhode Island",48730.0,51426,65689,129998,52955,0.9475751565356045,48730.0,True
51097,"King and Queen County, Virginia",2679.0,2826,3464,6681,3889,0.9479830148619958,2679.0,True
17051,"Fayette County, Illinois",7295.0,7678,8839,21464,5822,0.9501172180255275,7295.0,False
18081,"Johnson County, Indiana",57420.0,60274,63818,161952,12646,0.9526495669774696,57420.0,False
38063,"Nelson County, North Dakota",1239.0,1297,1803,3025,1121,0.9552814186584425,1239.0,False
18047,"Franklin County, Indiana",8579.0,8976,9687,22850,2624,0.955770944741533,8579.0,False
6043,"Mariposa County, California",7262.0,7597,9824,17130,10893,0.9559036461761221,7262.0,True
44007,"Providence County, Rhode Island",242599.0,253635,276370,657984,84135,0.9564886549569263,242599.0,False
47167,"Tipton County, Tennessee",21417.0,22366,24045,61116,17417,0.9575695251721362,21417.0,False
47023,"Chester County, Tennessee",5853.0,6106,7224,17392,5313,0.9585653455617426,5853.0,False
53023,"Garfield County, Washington",968.0,1009,1202,2310,1186,0.9593657086223984,968.0,True
31127,"Nemaha County, Nebraska",2736.0,2851,3312,7019,707,0.9596632760434936,2736.0,False
39021,"Champaign County, Ohio",14989.0,15612,16870,38715,5129,0.960094798872662,14989.0,False
