legacy_county_fips,legacy_county_name,planning_region_fips,planning_region_name,planning_town_name,pous_city_name,pous_tracked_customers_2019q1,pilot_customer_density,pilot_within_county_relative_rate,planning_cousub_geoid,gazetteer_name,gazetteer_land_area_sq_m,gazetteer_lat,gazetteer_lon,bridge_status,bridge_note
09005,Litchfield,09140,Naugatuck Valley Planning Region,Plymouth,Plymouth,5776.0,101.91606615559594,0.023239150072876313,0914060750,Plymouth town,56674087,41.666392,-73.026516,matched,
09005,Litchfield,09140,Naugatuck Valley Planning Region,Thomaston,Thomaston,3847.0,123.8967728288419,0.2726849857107464,0914075730,Thomaston town,31050042,41.664944,-73.096325,matched,
09005,Litchfield,09140,Naugatuck Valley Planning Region,Watertown,Watertown,10199.0,135.73508620888137,0.7287374836705062,0914080490,Watertown town,75139010,41.617245,-73.114362,matched,
09005,Litchfield,09140,Naugatuck Valley Planning Region,Woodbury,Woodbury,5180.0,55.00779029246304,5.177310185239923,0914087910,Woodbury town,94168480,41.561632,-73.206096,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Barkhamsted,Barkhamsted,1781.0,18.96764547811332,2.7506706626079795,0916002760,Barkhamsted town,93896736,41.935708,-72.972921,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Canaan,Canaan,1307.0,15.332717326457425,0.5327300326513219,0916010940,Canaan town,85242555,41.962959,-73.307143,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Colebrook,Colebrook,823.0,10.070682486114022,0.3453170030756326,0916016050,Colebrook town,81722366,42.005797,-73.064184,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Cornwall,Cornwall,1203.0,10.084039614969406,0.32025416527469974,0916017240,Cornwall town,119297429,41.84806,-73.330561,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Goshen,Goshen,1919.0,16.981573682875652,0.15184459391064895,0916032290,Goshen town,113004839,41.849537,-73.234002,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Harwinton,Harwinton,2512.0,31.494655612711224,3.413562078122575,0916037280,Harwinton town,79759564,41.761345,-73.060443,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Kent,Kent,2146.0,17.057039184136222,0.6387271072920844,0916040290,Kent town,125813160,41.729782,-73.45414,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Litchfield,Litchfield,4715.0,32.450980058828016,0.6346657569123694,0916043370,Litchfield town,145296074,41.740937,-73.192751,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Morris,Morris,1410.0,31.360079299632012,0.6554896037464114,0916049460,Morris town,44961621,41.694323,-73.209998,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,New Hartford,New Hartford,3307.0,34.474055901344364,0.8846190610865602,0916051350,New Hartford town,95927210,41.841053,-72.998664,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Norfolk,Norfolk,1120.0,9.537035104557454,3.748947663845914,0916053470,Norfolk town,117436917,41.969773,-73.178439,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,North Canaan,North Canaan,1471.0,29.31633334101949,0.4256389385475957,0916054030,North Canaan town,50176807,42.020594,-73.296246,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Roxbury,Roxbury,1351.0,19.83760097004841,1.4499032667918494,0916065930,Roxbury town,68102993,41.555532,-73.296026,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Salisbury,Salisbury,2989.0,20.1632988403533,0.9516598448587301,0916066420,Salisbury town,148239632,41.986226,-73.425273,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Sharon,Sharon,2170.0,14.257460766605268,0.21498213433279764,0916067960,Sharon town,152201015,41.860763,-73.449215,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Torrington,Torrington,18721.0,181.78893047671173,0.3900946856042131,0916076570,Torrington town,102982068,41.8342,-73.13147,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Warren,Warren,830.0,12.182209453570662,0.05517577028784434,0916079510,Warren town,68132140,41.735855,-73.342831,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Washington,Washington,2625.0,26.62210515031753,1.029540036821986,0916079720,Washington town,98602270,41.656175,-73.310175,matched,
09005,Litchfield,09160,Northwest Hills Planning Region,Winchester,Winchester,6151.0,73.04048851226653,1.232804587974463,0916086440,Winchester town,84213566,41.927213,-73.109336,matched,
09005,Litchfield,09190,Western Connecticut Planning Region,Bridgewater,Bridgewater,964.0,22.69379168012639,5.6504387546467925,0919008210,Bridgewater town,42478578,41.520294,-73.361093,matched,
09005,Litchfield,09190,Western Connecticut Planning Region,New Milford,New Milford,13957.0,87.5341641634417,0.4947924824945194,0919052630,New Milford town,159446316,41.601267,-73.422807,matched,
09007,Middlesex,09130,Lower Connecticut River Valley Planning Region,Chester,Chester,2084.0,50.12854580384022,0.09497597092569436,0913014300,Chester town,41573119,41.411728,-72.487146,matched,
09007,Middlesex,09130,Lower Connecticut River Valley Planning Region,Clinton,Clinton,7112.0,169.43235847865657,0.5105576447260802,0913015350,Clinton town,41975453,41.29513,-72.530039,matched,
09007,Middlesex,09130,Lower Connecticut River Valley Planning Region,Cromwell,Cromwell,7133.0,221.1702021445417,0.5149297960829635,0913018080,Cromwell town,32251180,41.616609,-72.66156,matched,
09007,Middlesex,09130,Lower Connecticut River Valley Planning Region,Deep River,Deep River,2462.0,70.33931204153025,0.11712124436210389,0913019130,Deep River town,35001764,41.367819,-72.477442,matched,
09007,Middlesex,09130,Lower Connecticut River Valley Planning Region,Durham,Durham,3129.0,51.063233124172626,4.056445908461103,0913020810,Durham town,61276966,41.468922,-72.684525,matched,
09007,Middlesex,09130,Lower Connecticut River Valley Planning Region,East Haddam,East Haddam,4939.0,35.14901992412836,1.0485782843720428,0913022280,East Haddam town,140516009,41.476661,-72.39212,matched,
09007,Middlesex,09130,Lower Connecticut River Valley Planning Region,East Hampton,East Hampton,6270.0,67.90445624239548,0.18107358694458908,0913022490,East Hampton town,92335619,41.567737,-72.509544,matched,
09007,Middlesex,09130,Lower Connecticut River Valley Planning Region,Essex,Essex,4016.0,149.05997199335346,0.07884055097288846,0913026270,Essex town,26942176,41.349862,-72.413383,matched,
09007,Middlesex,09130,Lower Connecticut River Valley Planning Region,Haddam,Haddam,3953.0,34.73758352398435,2.9350663728893074,0913035230,Haddam town,113796056,41.480809,-72.548636,matched,
09007,Middlesex,09130,Lower Connecticut River Valley Planning Region,Killingworth,Killingworth,2878.0,31.451292575452474,1.0609777678430696,0913040710,Killingworth town,91506573,41.374419,-72.578328,matched,
09007,Middlesex,09130,Lower Connecticut River Valley Planning Region,Middlefield,Middlefield,2204.0,67.27800517173719,1.9440700103618593,0913047080,Middlefield town,32759592,41.514163,-72.717844,matched,
09007,Middlesex,09130,Lower Connecticut River Valley Planning Region,Middletown,Middletown,23082.0,217.27128222898534,1.1260152313496752,0913047360,Middletown town,106235853,41.548611,-72.656784,matched,
09007,Middlesex,09130,Lower Connecticut River Valley Planning Region,Old Saybrook,Old Saybrook,7128.0,182.7545073163593,0.494294511360694,0913057320,Old Saybrook town,39003142,41.293504,-72.383594,matched,
